كشف حساب البنك انستا 1

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"40";"3956";"06/03/2026 02:29:35 ص";"06/03/2026 02:29:35 ص";"يوسف محمود";"تحويل من م / يوسف خشبه المستلم ";"2000.000000";;"7550.000000"
"41";"3989";"07/03/2026 02:19:50 م";"07/03/2026 02:19:50 م";"ابراهيم الضويني ";"تحويل الى شركة نيو فيرجن المستلم احمد رفعت";;"2600.000000";"4950.000000"
"42";"4126";"08/03/2026 11:37:08 م";"08/03/2026 11:37:07 م";"ابراهيم الضويني ";"تحويل من ميدو الدبسي المستلم ";"5000.000000";;"9950.000000"
"43";"4136";"09/03/2026 01:05:05 ص";"09/03/2026 01:05:05 ص";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"5000.000000";"4950.000000"
"44";"4183";"10/03/2026 03:48:06 م";"10/03/2026 03:48:06 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2745 نقدى";"230.000000";;"5180.000000"
"45";"4297";"12/03/2026 01:57:14 ص";"12/03/2026 01:57:14 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"3300.000000";"1880.000000"
"46";"4298";"12/03/2026 01:58:15 ص";"12/03/2026 01:58:15 ص";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"822.500000";"1057.500000"
"47";"4299";"12/03/2026 01:58:41 ص";"12/03/2026 01:58:41 ص";"ابراهيم الضويني ";"مصروفات مصاريف ادارية وعمومية شحن نت المحل المستلم ";;"400.000000";"657.500000"
"48";"4300";"12/03/2026 02:00:06 ص";"12/03/2026 02:00:06 ص";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 112 الفار للالكترونيات";;"295.000000";"362.500000"
"49";"4477";"14/03/2026 09:56:18 م";"14/03/2026 09:56:18 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2932 نقدى";"1320.000000";;"1682.500000"
"50";"4493";"14/03/2026 10:34:34 م";"14/03/2026 10:34:34 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2943 نقدى";"600.000000";;"2282.500000"
"51";"4510";"15/03/2026 02:44:45 ص";"15/03/2026 02:44:45 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2958 نقدى";"5800.000000";;"8082.500000"
"52";"4572";"16/03/2026 02:42:33 ص";"16/03/2026 02:42:33 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"260.000000";;"8342.500000"
"53";"4556";"16/03/2026 02:55:41 ص";"16/03/2026 02:55:41 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2994 نقدى";"3500.000000";;"11842.500000"
"54";"4649";"17/03/2026 03:05:57 م";"17/03/2026 03:04:48 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3057 نقدى";"800.000000";;"12642.500000"
"55";"4738";"18/03/2026 01:58:27 ص";"18/03/2026 01:58:27 ص";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 120 Master wood";;"4000.000000";"8642.500000"
"56";"4741";"18/03/2026 02:04:22 ص";"18/03/2026 02:04:21 ص";"ابراهيم الضويني ";"تحويل من معرض احمد فرحات المستلم ";"10000.000000";;"18642.500000"
"57";"4745";"18/03/2026 02:06:48 ص";"18/03/2026 02:06:47 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"775.000000";;"19417.500000"
"58";"4883";"19/03/2026 01:18:21 ص";"19/03/2026 01:18:21 ص";"يوسف محمود";"تحويل الى الخزينة خزينة 1  المستلم ";;"100.000000";"19317.500000"
"59";"5007";"19/03/2026 10:26:10 م";"19/03/2026 10:26:10 م";"ابراهيم الضويني ";"تحويل الى شركة هوم لايت المستلم ";;"25000.000000";"-5682.500000"
"60";"5018";"20/03/2026 02:53:59 ص";"20/03/2026 02:53:58 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"6000.000000";;"317.500000"
"61";"5024";"25/03/2026 04:14:56 م";"25/03/2026 04:14:56 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 3255 نقدى";"640.000000";;"957.500000"
"62";"5025";"25/03/2026 04:19:13 م";"25/03/2026 04:19:13 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"957.500000";"0.000000"
"63";"5124";"01/04/2026 03:30:18 م";"01/04/2026 03:30:17 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3314 نقدى";"900.000000";;"900.000000"
"64";"5333";"05/04/2026 03:13:26 م";"05/04/2026 03:13:26 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3434 نقدى";"310.000000";;"1210.000000"
"65";"5509";"07/04/2026 04:44:28 م";"07/04/2026 04:44:28 م";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"195.000000";;"1405.000000"
"66";"5652";"09/04/2026 04:46:06 م";"09/04/2026 04:46:06 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3639 نقدى";"625.000000";;"2030.000000"
"67";"5736";"11/04/2026 10:18:17 ص";"11/04/2026 10:18:17 ص";"ابراهيم الضويني ";"مصروفات مصاريف ادارية وعمومية شحن نت المحل المستلم ";;"400.000000";"1630.000000"
"68";"5840";"12/04/2026 05:42:21 م";"12/04/2026 05:42:21 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3735 نقدى";"510.000000";;"2140.000000"
"69";"5893";"13/04/2026 03:55:41 م";"13/04/2026 03:55:41 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3766 نقدى";"100.000000";;"2240.000000"
"70";"6038";"15/04/2026 10:31:54 ص";"15/04/2026 10:31:54 ص";"ابراهيم الضويني ";"مصروفات مصاريف ادارية وعمومية شحن نت المحل المستلم ";;"400.000000";"1840.000000"
"71";"6218";"16/04/2026 09:59:26 م";"16/04/2026 09:59:26 م";"ابراهيم الضويني ";"تحويل من احمد الفرخ المستلم ";"11500.000000";;"13340.000000"
"72";"6251";"16/04/2026 10:47:27 م";"16/04/2026 10:47:27 م";"ابراهيم الضويني ";"تحويل من الخزينة الرئيسية  المستلم ";"1100.000000";;"14440.000000"
"73";"6258";"16/04/2026 11:05:51 م";"16/04/2026 11:05:51 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"19440.000000";"-5000.000000"
"74";"6236";"16/04/2026 11:23:55 م";"16/04/2026 11:23:55 م";"يوسف محمود";"تحويل من ميدو الدبسي المستلم ";"5000.000000";;"0.000000"
"75";"6456";"19/04/2026 11:38:12 م";"19/04/2026 11:38:12 م";"يوسف محمود";"تحويل من مصطفي الضويني المستلم ";"11300.000000";;"11300.000000"
"76";"6456";"19/04/2026 11:38:31 م";"19/04/2026 11:38:31 م";"يوسف محمود";"تحويل من احمد فاضل المستلم ";"1700.000000";;"13000.000000"
"77";"6502";"20/04/2026 04:29:12 م";"20/04/2026 04:29:12 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"5000.000000";"8000.000000"
"78";"6524";"20/04/2026 07:14:57 م";"20/04/2026 07:14:56 م";"يوسف محمود";"تحويل من كريم البوهي المستلم ";"1000.000000";;"9000.000000"
"79";"6579";"21/04/2026 01:49:15 م";"21/04/2026 01:49:15 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم ";;"6500.000000";"2500.000000"
"80";"6631";"21/04/2026 07:13:12 م";"21/04/2026 07:13:12 م";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"1020.000000";;"3520.000000"
"81";"6900";"23/04/2026 09:59:37 م";"23/04/2026 09:59:37 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"6000.000000";;"9520.000000"
"82";"6940";"23/04/2026 11:52:22 م";"23/04/2026 11:52:22 م";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"350.000000";;"9870.000000"
"83";"6930";"24/04/2026 12:17:00 ص";"24/04/2026 12:17:00 ص";"يوسف محمود";"تحويل من محمد قاسم المستلم .";"10000.000000";;"19870.000000"
"84";"6943";"24/04/2026 02:37:59 م";"24/04/2026 02:37:35 م";"ابراهيم الضويني ";"تحويل من كريم الجندي المستلم ";"850.000000";;"20720.000000"
"85";"6945";"24/04/2026 02:43:10 م";"24/04/2026 02:43:10 م";"ابراهيم الضويني ";"تحويل الى شركة هوم لايت المستلم ";;"10000.000000";"10720.000000"
"86";"6949";"24/04/2026 02:56:05 م";"24/04/2026 02:56:05 م";"ابراهيم الضويني ";"تحويل من الخزينة الرئيسية  المستلم ";"20000.000000";;"30720.000000"
"87";"6951";"24/04/2026 06:52:03 م";"24/04/2026 06:52:03 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم ";;"20000.000000";"10720.000000"
"88";"6952";"24/04/2026 06:54:49 م";"24/04/2026 06:54:11 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عمولة تحويل المستلم الياسمين وهوم لايت";;"35.000000";"10685.000000"
"89";"7007";"25/04/2026 06:18:50 م";"25/04/2026 06:18:50 م";"ابراهيم الضويني ";"تحويل الى العراقي جروب المستلم ";;"1500.000000";"9185.000000"
"90";"7157";"26/04/2026 10:36:08 م";"26/04/2026 10:36:08 م";"يوسف محمود";"تحويل من كريم البوهي المستلم ";"2200.000000";;"11385.000000"
"91";"7183";"27/04/2026 12:51:51 م";"27/04/2026 12:51:50 م";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 191 حسن الغزناوي أكستريم لايت";;"100.000000";"11285.000000"
"92";"7218";"27/04/2026 05:16:52 م";"27/04/2026 05:16:52 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"5000.000000";"6285.000000"
"93";"7278";"28/04/2026 10:51:10 ص";"28/04/2026 10:51:10 ص";"ابراهيم الضويني ";"تحويل من اشرف هنيدي المستلم ";"3000.000000";;"9285.000000"
"94";"7378";"28/04/2026 10:23:28 م";"28/04/2026 10:23:28 م";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"65.000000";;"9350.000000"
"95";"7379";"28/04/2026 10:25:43 م";"28/04/2026 10:25:43 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم ";;"9000.000000";"350.000000"
"96";"7491";"29/04/2026 10:29:31 م";"29/04/2026 10:29:31 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4750 نقدى";"540.000000";;"890.000000"
"97";"7532";"30/04/2026 02:08:27 م";"30/04/2026 02:08:27 م";"يوسف محمود";"تحويل من معرض احمد فرحات المستلم ";"7160.000000";;"8050.000000"
"98";"7547";"30/04/2026 06:53:38 م";"30/04/2026 06:53:16 م";"يوسف محمود";"تحويل من سمير ابو طالب المستلم ";"3045.000000";;"11095.000000"
"99";"7548";"30/04/2026 06:53:47 م";"30/04/2026 06:53:47 م";"يوسف محمود";"تحويل من مصطفي الضويني المستلم ";"1500.000000";;"12595.000000"
"100";"7658";"01/05/2026 02:19:09 ص";"01/05/2026 02:19:09 ص";"مدير الشركه مصطفي";"تحويل الى شركة الياسمين  المستلم ";;"10000.000000";"2595.000000"
"101";"7659";"01/05/2026 02:19:28 ص";"01/05/2026 02:19:28 ص";"مدير الشركه مصطفي";"مصروفات المشتريات والخصومات عمولة تحويل المستلم اللاب";;"10.000000";"2585.000000"
"102";"7667";"02/05/2026 02:49:44 ص";"02/05/2026 02:49:44 ص";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"250.000000";"2335.000000"
"103";"7669";"02/05/2026 02:52:41 ص";"02/05/2026 02:52:41 ص";"مدير الشركه مصطفي";"تحويل من محمد قاسم المستلم ";"5000.000000";;"7335.000000"
"104";"7839";"04/05/2026 12:14:03 م";"04/05/2026 12:14:03 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4934 طارق الصعيدي";"500.000000";;"7835.000000"
"105";"7905";"04/05/2026 08:29:54 م";"04/05/2026 08:29:51 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 4992 نقدى";"70.000000";;"7905.000000"
"106";"7913";"04/05/2026 08:54:17 م";"04/05/2026 08:54:17 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 4997 نقدى";"430.000000";;"8335.000000"
"107";"7945";"04/05/2026 11:37:30 م";"04/05/2026 11:37:30 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"5000.000000";"3335.000000"
"108";"7972";"05/05/2026 04:07:07 م";"05/05/2026 04:07:07 م";"ابراهيم الضويني ";"تحويل الى شركة نيو فيرجن المستلم ";;"3000.000000";"335.000000"
"109";"8178";"07/05/2026 06:25:39 م";"07/05/2026 06:25:39 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5176 نقدى";"480.000000";;"815.000000"
"110";"8237";"07/05/2026 10:21:03 م";"07/05/2026 10:21:03 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"7500.000000";;"8315.000000"
"111";"8248";"07/05/2026 10:54:39 م";"07/05/2026 10:54:39 م";"يوسف محمود";"تحويل من الحاج احمد فرحات المستلم ";"800.000000";;"9115.000000"
"112";"8275";"08/05/2026 12:56:57 ص";"08/05/2026 12:56:57 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"50000.000000";;"59115.000000"
"113";"8276";"08/05/2026 12:57:18 ص";"08/05/2026 12:57:18 ص";"ابراهيم الضويني ";"تحويل الى شركة هوم لايت المستلم ";;"50000.000000";"9115.000000"
"114";"8291";"08/05/2026 01:21:57 ص";"08/05/2026 01:21:57 ص";"ابراهيم الضويني ";"تحويل من الخزينة الرئيسية  المستلم ";"25000.000000";;"34115.000000"
"115";"8292";"08/05/2026 01:24:09 ص";"08/05/2026 01:24:09 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"40000.000000";;"74115.000000"
"116";"8293";"08/05/2026 01:24:28 ص";"08/05/2026 01:24:28 ص";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"20000.000000";"54115.000000"
"117";"8293";"08/05/2026 01:24:39 ص";"08/05/2026 01:24:39 ص";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"5000.000000";"49115.000000"
"118";"8293";"08/05/2026 01:24:50 ص";"08/05/2026 01:24:50 ص";"ابراهيم الضويني ";"تحويل الى م/ حسام نصر المستلم ";;"20000.000000";"29115.000000"
"119";"8293";"08/05/2026 01:25:06 ص";"08/05/2026 01:25:06 ص";"ابراهيم الضويني ";"تحويل الى شركة النخبة المستلم ";;"20000.000000";"9115.000000"
"120";"8302";"08/05/2026 02:04:08 ص";"08/05/2026 02:04:08 ص";"ابراهيم الضويني ";"تحويل الى Master wood المستلم ";;"6250.000000";"2865.000000"
"121";"8306";"08/05/2026 02:37:52 ص";"08/05/2026 02:37:52 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"500.000000";"2365.000000"
"122";"8308";"08/05/2026 02:40:48 ص";"08/05/2026 02:40:48 ص";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"2300.000000";"65.000000"
"123";"8341";"09/05/2026 10:19:50 م";"09/05/2026 10:19:50 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5270 نقدى";"610.000000";;"675.000000"
"124";"8368";"09/05/2026 10:59:31 م";"09/05/2026 10:59:31 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"15000.000000";;"15675.000000"
"125";"8369";"09/05/2026 10:59:54 م";"09/05/2026 10:59:54 م";"ابراهيم الضويني ";"تحويل من الخزينة الرئيسية  المستلم ";"5000.000000";;"20675.000000"
"126";"8370";"09/05/2026 11:00:17 م";"09/05/2026 11:00:17 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم ";;"20000.000000";"675.000000"
"127";"8702";"14/05/2026 12:09:53 ص";"14/05/2026 12:09:53 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5520 نقدى";"2100.000000";;"2775.000000"
"128";"8821";"14/05/2026 10:59:14 م";"14/05/2026 10:59:14 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"2500.000000";;"5275.000000"
"129";"8876";"15/05/2026 01:38:17 ص";"15/05/2026 01:38:17 ص";"ابراهيم الضويني ";"تحويل من رامي جوهر المستلم ";"2000.000000";;"7275.000000"
"130";"8883";"15/05/2026 03:28:23 ص";"15/05/2026 03:28:23 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 2 دمياط ";"1470.000000";;"8745.000000"
"131";"8884";"15/05/2026 03:33:36 ص";"15/05/2026 03:33:36 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"145.000000";"8600.000000"
"132";"8885";"15/05/2026 04:55:05 ص";"15/05/2026 04:55:05 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"45000.000000";;"53600.000000"
"133";"8886";"15/05/2026 04:55:23 ص";"15/05/2026 04:55:23 ص";"ابراهيم الضويني ";"تحويل الى شركة هوم لايت المستلم ";;"45000.000000";"8600.000000"
"134";"8888";"15/05/2026 03:22:55 م";"15/05/2026 03:22:55 م";"يوسف محمود";"تحويل من خالد القنيشي المستلم ";"2880.000000";;"11480.000000"
"135";"8890";"15/05/2026 05:07:54 م";"15/05/2026 05:07:54 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"1000.000000";"10480.000000"
"136";"8958";"16/05/2026 09:58:38 م";"16/05/2026 09:58:37 م";"يوسف محمود";"تحويل من حسام صيام المستلم ";"580.000000";;"11060.000000"
"137";"8977";"16/05/2026 11:04:14 م";"16/05/2026 11:04:14 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5690 نقدى";"190.000000";;"11250.000000"
"138";"9010";"17/05/2026 01:39:34 ص";"17/05/2026 01:39:34 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"12000.000000";;"23250.000000"
"139";"9011";"17/05/2026 01:39:49 ص";"17/05/2026 01:39:49 ص";"ابراهيم الضويني ";"تحويل الى شركة انرجي الحداد المستلم ";;"12000.000000";"11250.000000"
"140";"9108";"17/05/2026 09:13:01 م";"17/05/2026 09:13:01 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5767 نقدى";"800.000000";;"12050.000000"
"141";"9151";"17/05/2026 11:45:47 م";"17/05/2026 11:45:46 م";"مدير الشركه مصطفي";"تحويل من مصطفي الضويني المستلم ";"6750.000000";;"18800.000000"
"142";"9152";"17/05/2026 11:47:48 م";"17/05/2026 11:47:48 م";"مدير الشركه مصطفي";"تحويل الى شركة الياسمين  المستلم ";;"6750.000000";"12050.000000"
"143";"9153";"18/05/2026 03:07:09 ص";"18/05/2026 03:07:09 ص";"مدير الشركه مصطفي";"تحويل من باى  انستا 2 دمياط ";"2938.000000";;"14988.000000"
"144";"9161";"18/05/2026 01:07:58 م";"18/05/2026 01:07:58 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5804 نقدى";"50.000000";;"15038.000000"
"145";"9175";"18/05/2026 02:51:59 م";"18/05/2026 02:51:59 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5813 نقدى";"130.000000";;"15168.000000"
"146";"9233";"18/05/2026 07:30:54 م";"18/05/2026 07:30:54 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"5000.000000";;"20168.000000"
"147";"9234";"18/05/2026 07:35:39 م";"18/05/2026 07:35:39 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"5000.000000";"15168.000000"
"148";"9235";"18/05/2026 07:50:53 م";"18/05/2026 07:50:53 م";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 268 خالد الشربيني";;"1380.000000";"13788.000000"
"149";"9276";"19/05/2026 02:43:27 ص";"19/05/2026 02:43:27 ص";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"250.000000";;"14038.000000"
"150";"9317";"19/05/2026 09:56:39 م";"19/05/2026 09:56:39 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 5889 نقدى";"390.000000";;"14428.000000"
;;;;;;"486138";"471710";"14428"
