كشف حساب البنك فودافون 1

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"26";"1808";"06/02/2026 12:05:02 ص";"06/02/2026 12:05:02 ص";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"3920.000000";;"27788.000000"
"27";"1810";"06/02/2026 12:11:32 ص";"06/02/2026 12:11:32 ص";"ابراهيم الضويني ";"تحويل من مصطفى عياد المستلم ";"3000.000000";;"30788.000000"
"28";"1836";"06/02/2026 12:51:34 ص";"06/02/2026 12:51:34 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"380.000000";;"31168.000000"
"29";"1859";"07/02/2026 04:02:30 م";"07/02/2026 04:02:30 م";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"24000.000000";"7168.000000"
"30";"1897";"08/02/2026 10:37:32 ص";"08/02/2026 10:37:32 ص";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1274 نقدى";"1335.000000";;"8503.000000"
"31";"1930";"08/02/2026 05:49:58 م";"08/02/2026 05:49:58 م";"ابراهيم الضويني ";"تحويل الى شركه دهب باسم ابراهيم المستلم ";;"4200.000000";"4303.000000"
"32";"1964";"09/02/2026 11:16:00 ص";"09/02/2026 11:16:00 ص";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1319 نقدى";"1730.000000";;"6033.000000"
"33";"2037";"10/02/2026 01:08:45 م";"10/02/2026 01:08:45 م";"ابراهيم الضويني ";"تحويل من اشرف هنيدي المستلم ";"10000.000000";;"16033.000000"
"34";"2081";"10/02/2026 09:31:23 م";"10/02/2026 09:31:23 م";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 41 شركة الأقصى";;"5000.000000";"11033.000000"
"35";"2093";"11/02/2026 12:17:33 م";"11/02/2026 12:17:33 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"2000.000000";;"13033.000000"
"36";"2094";"11/02/2026 12:19:08 م";"11/02/2026 12:19:08 م";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 43 شركة السمكه";;"10000.000000";"3033.000000"
"37";"2195";"12/02/2026 03:56:59 م";"12/02/2026 03:56:59 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 1456 نقدي";"500.000000";;"3533.000000"
"38";"2202";"12/02/2026 04:18:29 م";"12/02/2026 04:18:29 م";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"2597.000000";;"6130.000000"
"39";"2259";"12/02/2026 10:24:52 م";"12/02/2026 10:24:52 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم 01014533898";"10000.000000";;"16130.000000"
"40";"2281";"12/02/2026 11:20:40 م";"12/02/2026 11:20:40 م";"ابراهيم الضويني ";"تحويل الى شركة الأقصى المستلم كريم رشدي";;"3000.000000";"13130.000000"
"41";"2307";"13/02/2026 12:32:29 ص";"13/02/2026 12:32:29 ص";"ابراهيم الضويني ";"تحويل من ابراهيم الاغا المستلم ";"1200.000000";;"14330.000000"
"42";"2311";"13/02/2026 02:42:30 ص";"13/02/2026 02:42:30 ص";"ابراهيم الضويني ";"تحويل من احمد الخميسي المستلم ";"5000.000000";;"19330.000000"
"43";"2311";"13/02/2026 02:43:18 ص";"13/02/2026 02:43:18 ص";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"3500.000000";;"22830.000000"
"44";"2413";"15/02/2026 12:07:48 م";"15/02/2026 12:07:48 م";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"20000.000000";;"42830.000000"
"45";"2413";"15/02/2026 12:07:58 م";"15/02/2026 12:07:58 م";"ابراهيم الضويني ";"تحويل من طارق القنيشي المستلم ";"1800.000000";;"44630.000000"
"46";"2426";"15/02/2026 01:11:25 م";"15/02/2026 01:11:25 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم .";"2000.000000";;"46630.000000"
"47";"2447";"15/02/2026 01:52:21 م";"15/02/2026 01:52:21 م";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"15000.000000";"31630.000000"
"48";"2471";"15/02/2026 05:58:46 م";"15/02/2026 05:58:46 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 1632 محي جابر";"1880.000000";;"33510.000000"
"49";"2514";"16/02/2026 12:33:34 م";"16/02/2026 12:33:34 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 1662 نقدى";"300.000000";;"33810.000000"
"50";"2556";"16/02/2026 04:44:40 م";"16/02/2026 04:44:40 م";"ابراهيم الضويني ";"تحويل من مصطفي الضويني المستلم ";"500.000000";;"34310.000000"
"51";"2573";"16/02/2026 05:47:53 م";"16/02/2026 05:47:53 م";"ابراهيم الضويني ";"تحويل الى كريم ابو الهدى المستلم ";;"10000.000000";"24310.000000"
"52";"2559";"16/02/2026 06:05:17 م";"16/02/2026 06:05:17 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 1687 نقدى";"700.000000";;"25010.000000"
"53";"2632";"17/02/2026 02:28:06 م";"17/02/2026 02:28:06 م";"ابراهيم الضويني ";"تحويل الى شركة المصري لايت المستلم محمد جمال";;"4000.000000";"21010.000000"
"54";"2762";"18/02/2026 02:24:03 م";"18/02/2026 02:24:03 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم محمد صبري";;"10000.000000";"11010.000000"
"55";"2762";"18/02/2026 02:24:19 م";"18/02/2026 02:24:19 م";"ابراهيم الضويني ";"تحويل الى شركة الأقصى المستلم كريم رشدي";;"10000.000000";"1010.000000"
"56";"2763";"18/02/2026 02:25:09 م";"18/02/2026 02:25:09 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ابراهيم";"4000.000000";;"5010.000000"
"57";"2801";"18/02/2026 06:43:17 م";"18/02/2026 06:43:17 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عمولة تحويل المستلم ";;"140.000000";"4870.000000"
"58";"2885";"19/02/2026 04:01:21 م";"19/02/2026 04:01:21 م";"ابراهيم الضويني ";"تحويل من طارق القنيشي المستلم ";"1400.000000";;"6270.000000"
"59";"2927";"19/02/2026 09:57:48 م";"19/02/2026 09:57:48 م";"مدير الشركه مصطفي";"تحويل من احمد الفرخ المستلم ";"2000.000000";;"8270.000000"
"60";"2928";"19/02/2026 09:58:51 م";"19/02/2026 09:58:51 م";"مدير الشركه مصطفي";"تحويل الى الخزينة خزينة 1  المستلم ";;"900.000000";"7370.000000"
"61";"2940";"19/02/2026 10:45:32 م";"19/02/2026 10:45:32 م";"مدير الشركه مصطفي";"تحويل من اسلام ليد المستلم .";"2500.000000";;"9870.000000"
"62";"2994";"21/02/2026 01:04:06 م";"21/02/2026 01:04:06 م";"ابراهيم الضويني ";"تحويل من محل فولت (فارس عريف) المستلم ";"20000.000000";;"29870.000000"
"63";"2994";"21/02/2026 01:04:16 م";"21/02/2026 01:04:16 م";"ابراهيم الضويني ";"تحويل من احمد الخميسي المستلم ";"6000.000000";;"35870.000000"
"64";"2996";"21/02/2026 01:13:47 م";"21/02/2026 01:13:47 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم 01006152240";;"23000.000000";"12870.000000"
"65";"2997";"21/02/2026 01:14:32 م";"21/02/2026 01:14:32 م";"ابراهيم الضويني ";"مصروفات المشتريات والخصومات عمولة تحويل المستلم لاب";;"200.000000";"12670.000000"
"66";"3000";"21/02/2026 01:35:59 م";"21/02/2026 01:35:59 م";"ابراهيم الضويني ";"تحويل الى شركة R.S  محمد البغدادي المستلم ";;"12500.000000";"170.000000"
"67";"3044";"21/02/2026 05:24:47 م";"21/02/2026 05:24:47 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"1000.000000";;"1170.000000"
"68";"3044";"21/02/2026 05:24:58 م";"21/02/2026 05:24:58 م";"ابراهيم الضويني ";"تحويل من اشرف هنيدي المستلم ";"7000.000000";;"8170.000000"
"69";"3078";"22/02/2026 01:11:34 ص";"22/02/2026 01:11:34 ص";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"380.000000";"7790.000000"
"70";"3071";"22/02/2026 01:51:38 ص";"22/02/2026 01:51:38 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2030 نقدى";"380.000000";;"8170.000000"
"71";"3243";"24/02/2026 11:05:55 م";"24/02/2026 11:05:55 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2156 نقدى";"1260.000000";;"9430.000000"
"72";"3252";"24/02/2026 11:34:15 م";"24/02/2026 11:34:15 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2165 اسلام ليد";"1000.000000";;"10430.000000"
"73";"3333";"25/02/2026 05:10:45 م";"25/02/2026 05:10:44 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2226 اسلام ليد";"400.000000";;"10830.000000"
"74";"3352";"25/02/2026 09:59:12 م";"25/02/2026 09:59:12 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2237 نقدى";"170.000000";;"11000.000000"
"75";"3438";"26/02/2026 06:27:29 م";"26/02/2026 06:27:29 م";"يوسف محمود";"تحويل من خالد القنيشي المستلم ابراهيم";"2250.000000";;"13250.000000"
"76";"3506";"27/02/2026 01:17:04 ص";"27/02/2026 01:17:04 ص";"مدير الشركه مصطفي";"تحويل من كاش فودافون 2 دمياط ";"3500.000000";;"16750.000000"
"77";"3507";"27/02/2026 01:17:41 ص";"27/02/2026 01:17:41 ص";"مدير الشركه مصطفي";"تحويل من اسلام ليد المستلم ";"1000.000000";;"17750.000000"
"78";"3518";"27/02/2026 01:34:08 ص";"27/02/2026 01:34:08 ص";"مدير الشركه مصطفي";"تحويل الى شركة سيلفر لايت (محمد شنشن) المستلم ";;"4400.000000";"13350.000000"
"79";"3518";"27/02/2026 01:36:22 ص";"27/02/2026 01:36:22 ص";"مدير الشركه مصطفي";"تحويل الى شركة المصري لايت المستلم ";;"6000.000000";"7350.000000"
"80";"3520";"27/02/2026 01:36:55 ص";"27/02/2026 01:36:55 ص";"مدير الشركه مصطفي";"مصروفات المشتريات والخصومات عموله تحويل المستلم المصري";;"60.000000";"7290.000000"
"81";"3554";"28/02/2026 09:33:23 م";"28/02/2026 09:33:23 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2358 نقدى";"450.000000";;"7740.000000"
"82";"3564";"28/02/2026 10:56:47 م";"28/02/2026 10:56:47 م";"مدير الشركه مصطفي";"تحويل الى شركة الماسه لايت المستلم ";;"7500.000000";"240.000000"
"83";"3558";"28/02/2026 10:58:13 م";"28/02/2026 10:58:13 م";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم .";"20000.000000";;"20240.000000"
"84";"3558";"28/02/2026 10:59:26 م";"28/02/2026 10:59:26 م";"يوسف محمود";"تحويل من احمد الخميسي المستلم .";"5000.000000";;"25240.000000"
"85";"3573";"01/03/2026 12:05:40 ص";"01/03/2026 12:05:40 ص";"مدير الشركه مصطفي";"تحويل الى شركه دهب باسم ابراهيم المستلم ";;"7000.000000";"18240.000000"
"86";"3587";"01/03/2026 01:10:03 ص";"01/03/2026 01:10:03 ص";"مدير الشركه مصطفي";"تحويل من باى  انستا 1 دمياط ";"2175.000000";;"20415.000000"
"87";"3589";"01/03/2026 01:13:49 ص";"01/03/2026 01:13:49 ص";"مدير الشركه مصطفي";"تحويل الى شركة الياسمين  المستلم ";;"20000.000000";"415.000000"
"88";"3653";"02/03/2026 02:02:29 ص";"02/03/2026 02:02:29 ص";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"1000.000000";;"1415.000000"
"89";"3753";"03/03/2026 06:25:59 م";"03/03/2026 06:25:59 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"1200.000000";;"2615.000000"
"90";"3769";"04/03/2026 01:40:36 ص";"04/03/2026 01:40:36 ص";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"1300.000000";;"3915.000000"
"91";"3784";"04/03/2026 02:45:22 ص";"04/03/2026 02:45:22 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2500 نقدى";"1300.000000";;"5215.000000"
"92";"3855";"05/03/2026 01:03:45 ص";"05/03/2026 01:03:45 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2552 نقدى";"85.000000";;"5300.000000"
"93";"3894";"05/03/2026 05:45:00 م";"05/03/2026 05:45:00 م";"يوسف محمود";"تحويل من الحاج احمد فرحات المستلم ";"2000.000000";;"7300.000000"
"94";"3907";"05/03/2026 09:22:25 م";"05/03/2026 09:22:25 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2583 نقدى";"420.000000";;"7720.000000"
"95";"3917";"05/03/2026 10:29:07 م";"05/03/2026 10:29:07 م";"يوسف محمود";"تحويل من الحاج مسعد الشطوي المستلم ";"500.000000";;"8220.000000"
"96";"3919";"05/03/2026 10:41:28 م";"05/03/2026 10:41:28 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2590 نقدى";"1170.000000";;"9390.000000"
"97";"3920";"05/03/2026 10:48:45 م";"05/03/2026 10:48:45 م";"يوسف محمود";"تحويل من احمد الفرخ المستلم ";"3800.000000";;"13190.000000"
"98";"3933";"06/03/2026 12:51:42 ص";"06/03/2026 12:51:42 ص";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"3000.000000";;"16190.000000"
"99";"3939";"06/03/2026 01:13:40 ص";"06/03/2026 01:13:40 ص";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم ";"20000.000000";;"36190.000000"
"100";"3958";"06/03/2026 01:36:18 ص";"06/03/2026 01:36:18 ص";"مدير الشركه مصطفي";"تحويل من احمد الفرخ المستلم ";"9000.000000";;"45190.000000"
"101";"3961";"06/03/2026 01:44:24 ص";"06/03/2026 01:44:24 ص";"مدير الشركه مصطفي";"تحويل من كاش فودافون 2 دمياط ";"2485.000000";;"47675.000000"
"102";"3962";"06/03/2026 01:45:41 ص";"06/03/2026 01:45:41 ص";"مدير الشركه مصطفي";"تحويل الى باى  انستا 1 دمياط دا تحويل احمد فرحات ";;"2000.000000";"45675.000000"
"103";"3965";"06/03/2026 02:08:26 ص";"06/03/2026 02:08:26 ص";"مدير الشركه مصطفي";"تحويل من كاش فودافون 2 دمياط ";"490.000000";;"46165.000000"
"104";"4014";"07/03/2026 04:56:50 م";"07/03/2026 04:56:50 م";"مدير الشركه مصطفي";"تحويل من كاش فودافون 2 دمياط ";"900.000000";;"47065.000000"
"105";"4016";"07/03/2026 04:57:57 م";"07/03/2026 04:57:57 م";"مدير الشركه مصطفي";"تحويل من مصطفي الضويني المستلم ";"3000.000000";;"50065.000000"
"106";"4058";"08/03/2026 12:14:58 ص";"08/03/2026 12:14:58 ص";"مدير الشركه مصطفي";"تحويل الى شركة النخبة المستلم ";;"50000.000000";"65.000000"
"107";"4062";"08/03/2026 01:29:37 ص";"08/03/2026 01:29:36 ص";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"1500.000000";;"1565.000000"
"108";"4139";"09/03/2026 01:18:06 ص";"09/03/2026 01:18:06 ص";"ابراهيم الضويني ";"تحويل من احمد الخميسي المستلم ";"3000.000000";;"4565.000000"
"109";"4255";"11/03/2026 10:55:25 م";"11/03/2026 10:55:25 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2795 نقدى";"290.000000";;"4855.000000"
"110";"4297";"12/03/2026 01:57:14 ص";"12/03/2026 01:57:14 ص";"ابراهيم الضويني ";"تحويل من باى  انستا 1 دمياط ";"3300.000000";;"8155.000000"
"111";"4336";"12/03/2026 03:22:46 م";"12/03/2026 03:22:46 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 2852 نقدى";"780.000000";;"8935.000000"
"112";"4367";"12/03/2026 10:24:34 م";"12/03/2026 10:24:34 م";"ابراهيم الضويني ";"تحويل من اسلام ليد المستلم ";"3000.000000";;"11935.000000"
"113";"4378";"13/03/2026 01:10:16 ص";"13/03/2026 01:10:16 ص";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم ";"15000.000000";;"26935.000000"
"114";"4427";"13/03/2026 10:08:35 م";"13/03/2026 10:08:35 م";"ابراهيم الضويني ";"تحويل الى شركة الأقصى المستلم كريم رشدي";;"6000.000000";"20935.000000"
"115";"4447";"14/03/2026 03:17:08 م";"14/03/2026 03:17:08 م";"يوسف محمود";"تحويل من اشرف هنيدي المستلم ";"10000.000000";;"30935.000000"
"116";"4571";"16/03/2026 02:36:38 ص";"16/03/2026 02:36:38 ص";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"5000.000000";"25935.000000"
"117";"4572";"16/03/2026 02:42:09 ص";"16/03/2026 02:42:09 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"985.000000";;"26920.000000"
"118";"4597";"16/03/2026 05:52:17 م";"16/03/2026 05:52:17 م";"يوسف محمود";"تحويل الى مصطفي الضويني المستلم .";;"3960.000000";"22960.000000"
"119";"4636";"17/03/2026 02:08:47 ص";"17/03/2026 02:08:47 ص";"يوسف محمود";"تحويل الى مصطفي الضويني المستلم .";;"1750.000000";"21210.000000"
"120";"4659";"17/03/2026 04:04:47 م";"17/03/2026 04:04:47 م";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"2000.000000";;"23210.000000"
"121";"4660";"17/03/2026 04:05:28 م";"17/03/2026 04:05:28 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3065 نقدى";"435.000000";;"23645.000000"
"122";"4716";"18/03/2026 12:37:01 ص";"18/03/2026 12:37:01 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3106 نقدى";"40.000000";;"23685.000000"
"123";"4765";"18/03/2026 04:16:54 ص";"18/03/2026 04:16:54 ص";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3131 نقدى";"550.000000";;"24235.000000"
"124";"4787";"18/03/2026 02:42:47 م";"18/03/2026 02:42:47 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3141 نقدى";"300.000000";;"24535.000000"
"125";"4824";"18/03/2026 05:46:27 م";"18/03/2026 05:46:27 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3161 نقدى";"580.000000";;"25115.000000"
"126";"4838";"18/03/2026 06:10:06 م";"18/03/2026 06:10:06 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3167 نقدى";"160.000000";;"25275.000000"
"127";"4872";"18/03/2026 11:07:25 م";"18/03/2026 11:07:25 م";"يوسف محمود";"تحويل من الحاج احمد فرحات المستلم ";"2000.000000";;"27275.000000"
"128";"4887";"19/03/2026 01:35:31 ص";"19/03/2026 01:35:31 ص";"يوسف محمود";"تحويل من ابراهيم الاغا المستلم ";"4250.000000";;"31525.000000"
"129";"4903";"19/03/2026 02:27:32 ص";"19/03/2026 02:27:32 ص";"يوسف محمود";"تحويل من اسلام ليد المستلم ";"1700.000000";;"33225.000000"
"130";"4916";"19/03/2026 02:02:37 م";"19/03/2026 02:02:37 م";"يوسف محمود";"تحويل من مصطفى عياد المستلم ";"500.000000";;"33725.000000"
"131";"4916";"19/03/2026 02:03:53 م";"19/03/2026 02:03:53 م";"يوسف محمود";"تحويل من محمد السيد زجاج المستلم ";"85.000000";;"33810.000000"
"132";"4926";"19/03/2026 03:58:36 م";"19/03/2026 03:58:36 م";"يوسف محمود";"تحويل من حسام صيام المستلم ";"1900.000000";;"35710.000000"
"133";"4929";"19/03/2026 04:25:30 م";"19/03/2026 04:25:30 م";"يوسف محمود";"تحويل من احمد الخميسي المستلم ";"10000.000000";;"45710.000000"
"134";"4944";"19/03/2026 04:41:07 م";"19/03/2026 04:41:07 م";"ابراهيم الضويني ";"تحويل الى شركة الماسه لايت المستلم ";;"30000.000000";"15710.000000"
"135";"4935";"19/03/2026 04:49:39 م";"19/03/2026 04:49:39 م";"يوسف محمود";"تحويل من محل فولت (فارس عريف) المستلم ";"14400.000000";;"30110.000000"
"136";"4960";"19/03/2026 07:25:02 م";"19/03/2026 07:25:02 م";"يوسف محمود";"تحصيل بالفيزا فاتورة بيع 3236 نقدى";"220.000000";;"30330.000000"
"137";"4969";"19/03/2026 08:16:29 م";"19/03/2026 08:16:29 م";"ابراهيم الضويني ";"تحويل الى مصطفي الضويني المستلم ";;"2825.000000";"27505.000000"
"138";"4970";"19/03/2026 08:17:05 م";"19/03/2026 08:17:05 م";"ابراهيم الضويني ";"تحويل من الخزينة خزينة 1  المستلم ";"6000.000000";;"33505.000000"
"139";"5009";"19/03/2026 10:42:02 م";"19/03/2026 10:42:02 م";"ابراهيم الضويني ";"تحويل الى شركة المصري لايت المستلم ";;"10000.000000";"23505.000000"
"140";"5010";"19/03/2026 10:42:33 م";"19/03/2026 10:42:33 م";"ابراهيم الضويني ";"مصروفات مصروفات متنوعة اخرى المستلم ";;"100.000000";"23405.000000"
"141";"5002";"19/03/2026 11:21:30 م";"19/03/2026 11:21:30 م";"يوسف محمود";"تحويل من احمد الخميسي المستلم ";"5000.000000";;"28405.000000"
"142";"5021";"20/03/2026 02:32:20 ص";"20/03/2026 02:32:20 ص";"ابراهيم الضويني ";"تحويل من خالد القنيشي المستلم ";"2775.000000";;"31180.000000"
"143";"5019";"20/03/2026 02:54:31 ص";"20/03/2026 02:54:31 ص";"ابراهيم الضويني ";"تحويل من كاش فودافون 2 دمياط ";"650.000000";;"31830.000000"
"144";"5020";"20/03/2026 02:56:30 ص";"20/03/2026 02:56:30 ص";"ابراهيم الضويني ";"تحويل من اشرف هنيدي المستلم ";"13000.000000";;"44830.000000"
"145";"5023";"25/03/2026 04:05:31 م";"25/03/2026 04:05:31 م";"ابراهيم الضويني ";"تحويل من محمد المرشدي المستلم ";"1500.000000";;"46330.000000"
"146";"5025";"25/03/2026 04:19:13 م";"25/03/2026 04:19:13 م";"ابراهيم الضويني ";"تحويل من باى  انستا 1 دمياط ";"957.500000";;"47287.500000"
"147";"5027";"25/03/2026 06:16:41 م";"25/03/2026 06:16:41 م";"ابراهيم الضويني ";"تحويل الى شركة الياسمين  المستلم ";;"28000.000000";"19287.500000"
"148";"5028";"25/03/2026 06:17:19 م";"25/03/2026 06:17:19 م";"ابراهيم الضويني ";"مصروفات مصروفات متنوعة اخرى المستلم الياسمين";;"280.000000";"19007.500000"
"149";"5029";"25/03/2026 06:26:00 م";"25/03/2026 06:26:00 م";"ابراهيم الضويني ";"تحويل الى اورجينال (احمد حمزه) المستلم ";;"5000.000000";"14007.500000"
"150";"5029";"25/03/2026 06:26:12 م";"25/03/2026 06:26:12 م";"ابراهيم الضويني ";"تحويل الى شركة الحمد -احمد حمزه المستلم ";;"10000.000000";"4007.500000"
