كشف حساب البنك فودافون 2

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"26";"832";"22/01/2026 03:50:09 م";"22/01/2026 03:50:08 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 626 نقدى";"725.000000";;"2413.000000"
"27";"987";"26/01/2026 08:13:54 م";"26/01/2026 08:13:52 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 729 نقدى";"600.000000";;"3013.000000"
"28";"1051";"27/01/2026 04:20:36 م";"27/01/2026 04:20:36 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 780 نقدى";"1400.000000";;"4413.000000"
"29";"1153";"28/01/2026 03:47:52 م";"28/01/2026 03:47:52 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 852 نقدى";"420.000000";;"4833.000000"
"30";"1300";"30/01/2026 12:47:40 ص";"30/01/2026 12:47:40 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"4833.000000";"0.000000"
"31";"1389";"31/01/2026 10:33:34 م";"31/01/2026 10:33:34 م";"مدير الشركه مصطفي";"تحصيل بالفيزا فاتورة بيع 985 نقدى";"1150.000000";;"1150.000000"
"32";"1420";"31/01/2026 11:40:26 م";"31/01/2026 11:40:26 م";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"1150.000000";"0.000000"
"33";"1479";"02/02/2026 02:07:08 م";"02/02/2026 02:07:08 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1044 نقدي";"500.000000";;"500.000000"
"34";"1541";"02/02/2026 04:26:38 م";"02/02/2026 04:26:38 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1085 نقدى";"260.000000";;"760.000000"
"35";"1616";"03/02/2026 03:47:30 م";"03/02/2026 03:47:30 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"760.000000";"0.000000"
"36";"1667";"04/02/2026 06:49:27 م";"04/02/2026 06:49:25 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1162 نقدى";"435.000000";;"435.000000"
"37";"1716";"04/02/2026 11:58:43 م";"04/02/2026 11:58:43 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1195 نقدى";"1000.000000";;"1435.000000"
"38";"1723";"05/02/2026 12:17:58 ص";"05/02/2026 12:17:58 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"1435.000000";"0.000000"
"39";"1750";"05/02/2026 01:49:20 م";"05/02/2026 01:49:19 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1210 نقدى";"180.000000";;"180.000000"
"40";"1789";"05/02/2026 08:14:30 م";"05/02/2026 08:14:30 م";"محمد اسام";"تحويل من وليد صلاح المستلم .";"200.000000";;"380.000000"
"41";"1836";"06/02/2026 12:51:34 ص";"06/02/2026 12:51:34 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"380.000000";"0.000000"
"42";"1884";"07/02/2026 09:30:15 م";"07/02/2026 09:30:11 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1270 نقدى";"357.000000";;"357.000000"
"43";"1955";"08/02/2026 09:42:18 م";"08/02/2026 09:42:11 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1311 نقدى";"140.000000";;"497.000000"
"44";"1960";"08/02/2026 10:32:40 م";"08/02/2026 10:32:39 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1316 نقدى";"100.000000";;"597.000000"
"45";"1984";"09/02/2026 12:31:31 م";"09/02/2026 12:31:31 م";"ابراهيم الضويني ";"تحويل من محمد اسام المستلم ";"100.000000";;"697.000000"
"46";"2045";"10/02/2026 02:05:14 م";"10/02/2026 02:05:14 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1372 نقدي";"230.000000";;"927.000000"
"47";"2082";"10/02/2026 08:28:41 م";"10/02/2026 08:28:40 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1388 نقدى";"125.000000";;"1052.000000"
"48";"2095";"11/02/2026 12:22:13 م";"11/02/2026 12:22:13 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 1395 نقدى";"1200.000000";;"2252.000000"
"49";"2103";"11/02/2026 01:28:00 م";"11/02/2026 01:27:47 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1401 نقدى";"100.000000";;"2352.000000"
"50";"2140";"11/02/2026 10:20:38 م";"11/02/2026 10:20:33 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 1428 نقدى";"245.000000";;"2597.000000"
"51";"2202";"12/02/2026 04:18:29 م";"12/02/2026 04:18:29 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"2597.000000";"0.000000"
"52";"3455";"26/02/2026 09:53:01 م";"26/02/2026 09:53:01 م";"محمد اسام";"تحويل من احمد الفرخ المستلم ";"3500.000000";;"3500.000000"
"53";"3506";"27/02/2026 01:17:04 ص";"27/02/2026 01:17:04 ص";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"3500.000000";"0.000000"
"54";"3535";"28/02/2026 03:05:51 م";"28/02/2026 03:05:39 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2346 نقدى";"75.000000";;"75.000000"
"55";"3891";"05/03/2026 03:51:59 م";"05/03/2026 03:51:59 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2574 طارق الصعيدي";"900.000000";;"975.000000"
"56";"3902";"05/03/2026 05:08:09 م";"05/03/2026 05:08:09 م";"محمد اسام";"تحويل من وليد صلاح المستلم ";"2000.000000";;"2975.000000"
"57";"3961";"06/03/2026 01:44:24 ص";"06/03/2026 01:44:24 ص";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"2485.000000";"490.000000"
"58";"3965";"06/03/2026 02:08:26 ص";"06/03/2026 02:08:26 ص";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"490.000000";"0.000000"
"59";"3990";"07/03/2026 02:26:02 م";"07/03/2026 02:26:02 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2616 نقدى";"900.000000";;"900.000000"
"60";"4014";"07/03/2026 04:56:50 م";"07/03/2026 04:56:50 م";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"900.000000";"0.000000"
"61";"4169";"09/03/2026 03:36:19 م";"09/03/2026 03:36:19 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2736 نقدى";"385.000000";;"385.000000"
"62";"4289";"12/03/2026 12:45:13 ص";"12/03/2026 12:45:13 ص";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2819 نقدى";"215.000000";;"600.000000"
"63";"4365";"12/03/2026 09:28:16 م";"12/03/2026 09:28:16 م";"محمد اسام";"تحويل من وليد صلاح المستلم ";"300.000000";;"900.000000"
"64";"4435";"13/03/2026 11:48:38 م";"13/03/2026 11:48:37 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2908 نقدى";"85.000000";;"985.000000"
"65";"4572";"16/03/2026 02:42:09 ص";"16/03/2026 02:42:09 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"985.000000";"0.000000"
"66";"4783";"18/03/2026 12:53:59 م";"18/03/2026 12:53:58 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3140 نقدى";"160.000000";;"160.000000"
"67";"4919";"19/03/2026 01:08:52 م";"19/03/2026 01:08:49 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3216 نقدى";"490.000000";;"650.000000"
"68";"5019";"20/03/2026 02:54:31 ص";"20/03/2026 02:54:31 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"650.000000";"0.000000"
"69";"5090";"31/03/2026 07:24:11 م";"31/03/2026 07:24:11 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3294 نقدى";"35.000000";;"35.000000"
"70";"5224";"02/04/2026 06:41:57 م";"02/04/2026 06:41:57 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3372 نقدى";"280.000000";;"315.000000"
"71";"5226";"02/04/2026 07:36:46 م";"02/04/2026 07:36:46 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 3374 نقدى";"1100.000000";;"1415.000000"
"72";"5225";"02/04/2026 08:00:03 م";"02/04/2026 08:00:03 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 3373 نقدى";"2150.000000";;"3565.000000"
"73";"5256";"04/04/2026 11:30:44 ص";"04/04/2026 11:30:44 ص";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 3389 نقدى";"350.000000";;"3915.000000"
"74";"5411";"06/04/2026 03:19:48 م";"06/04/2026 03:19:48 م";"ابراهيم الضويني ";"تحصيل بالفيزا فاتورة بيع 3488 نقدى";"1270.000000";;"5185.000000"
"75";"5414";"06/04/2026 03:36:03 م";"06/04/2026 03:36:03 م";"ابراهيم الضويني ";"تحويل من الخزينة خزينة 1  المستلم ";"30.000000";;"5215.000000"
"76";"5510";"07/04/2026 04:44:52 م";"07/04/2026 04:44:52 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"5215.000000";"0.000000"
"77";"5595";"09/04/2026 09:39:15 ص";"09/04/2026 09:39:15 ص";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3607 نقدى";"380.000000";;"380.000000"
"78";"5620";"09/04/2026 12:37:44 م";"09/04/2026 12:37:44 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3618 طارق الصعيدي";"2700.000000";;"3080.000000"
"79";"5649";"09/04/2026 02:44:52 م";"09/04/2026 02:44:51 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3636 نقدى";"200.000000";;"3280.000000"
"80";"5952";"14/04/2026 03:26:00 م";"14/04/2026 03:26:00 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"3280.000000";"0.000000"
"81";"6170";"16/04/2026 05:53:26 م";"16/04/2026 05:53:26 م";"محمد اسام";"تحويل من وليد صلاح المستلم ";"1020.000000";;"1020.000000"
"82";"6240";"16/04/2026 10:28:49 م";"16/04/2026 10:28:49 م";"محمد اسام";"تحويل من رامي جوهر المستلم ";"500.000000";;"1520.000000"
"83";"6258";"16/04/2026 11:06:08 م";"16/04/2026 11:06:08 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"1520.000000";"0.000000"
"84";"6392";"19/04/2026 02:00:14 م";"19/04/2026 02:00:13 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4064 نقدى";"240.000000";;"240.000000"
"85";"6535";"20/04/2026 08:26:37 م";"20/04/2026 08:26:36 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4162 محمد البحري";"600.000000";;"840.000000"
"86";"6577";"21/04/2026 01:44:07 م";"21/04/2026 01:44:07 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"840.000000";"0.000000"
"87";"6584";"21/04/2026 02:38:47 م";"21/04/2026 02:38:46 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4189 نقدى";"20.000000";;"20.000000"
"88";"6631";"21/04/2026 07:13:45 م";"21/04/2026 07:13:45 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"20.000000";"0.000000"
"89";"6863";"23/04/2026 07:43:26 م";"23/04/2026 07:43:26 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4373 نقدى";"265.000000";;"265.000000"
"90";"6911";"23/04/2026 10:10:32 م";"23/04/2026 10:10:31 م";"محمد اسام";"تحويل من رامي جوهر المستلم ";"3000.000000";;"3265.000000"
"91";"6940";"23/04/2026 11:52:39 م";"23/04/2026 11:52:39 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"3265.000000";"0.000000"
"92";"7171";"27/04/2026 12:16:41 م";"27/04/2026 12:16:41 م";"محمد اسام";"تحويل من علي ذكي المستلم ";"1940.000000";;"1940.000000"
"93";"7212";"27/04/2026 04:31:21 م";"27/04/2026 04:31:21 م";"ابراهيم الضويني ";"دفع بالفيزا فاتورة شراء 193 شركة المصري لايت";;"2015.000000";"-75.000000"
"94";"7220";"27/04/2026 05:40:21 م";"27/04/2026 05:40:21 م";"محمد اسام";"تحويل من احمد عوايد المستلم ";"2488.000000";;"2413.000000"
"95";"7276";"28/04/2026 10:48:10 ص";"28/04/2026 10:48:10 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"2413.000000";"0.000000"
"96";"7396";"29/04/2026 11:20:54 ص";"29/04/2026 11:20:54 ص";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4685 نقدى";"210.000000";;"210.000000"
"97";"7433";"29/04/2026 03:09:10 م";"29/04/2026 03:09:10 م";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"210.000000";"0.000000"
"98";"7531";"30/04/2026 01:35:37 م";"30/04/2026 01:35:37 م";"محمد اسام";"تحويل من عادل المنزلاوي المستلم ";"200.000000";;"200.000000"
"99";"7568";"30/04/2026 08:09:51 م";"30/04/2026 08:09:51 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4789 رامي جوهر";"2600.000000";;"2800.000000"
"100";"7641";"01/05/2026 12:30:41 ص";"01/05/2026 12:30:41 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"2800.000000";"0.000000"
"101";"8101";"06/05/2026 08:07:49 م";"06/05/2026 08:07:48 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5122 نقدى";"120.000000";;"120.000000"
"102";"8113";"06/05/2026 08:55:16 م";"06/05/2026 08:55:10 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5130 نقدى";"300.000000";;"420.000000"
"103";"8114";"06/05/2026 08:56:13 م";"06/05/2026 08:56:10 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5131 نقدى";"115.000000";;"535.000000"
"104";"8305";"08/05/2026 02:32:56 ص";"08/05/2026 02:32:56 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"535.000000";"0.000000"
"105";"8315";"09/05/2026 07:32:19 م";"09/05/2026 07:32:17 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5247 نقدى";"240.000000";;"240.000000"
"106";"8344";"09/05/2026 10:24:49 م";"09/05/2026 10:24:49 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5272 نقدى";"40.000000";;"280.000000"
"107";"8564";"12/05/2026 04:18:37 م";"12/05/2026 04:18:35 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5426 نقدى";"156.000000";;"436.000000"
"108";"8815";"14/05/2026 09:47:19 م";"14/05/2026 09:47:18 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5600 نقدى";"120.000000";;"556.000000"
"109";"8883";"15/05/2026 03:28:44 ص";"15/05/2026 03:28:44 ص";"ابراهيم الضويني ";"تحويل الى كاش فودافون 1 دمياط ";;"556.000000";"0.000000"
"110";"9030";"17/05/2026 12:04:45 م";"17/05/2026 12:04:44 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5726 نقدى";"1330.000000";;"1330.000000"
"111";"9153";"18/05/2026 03:06:54 ص";"18/05/2026 03:06:54 ص";"مدير الشركه مصطفي";"تحويل الى كاش فودافون 1 دمياط ";;"1330.000000";"0.000000"
;;;;;;"61804";"61804";"0"
