كشف حساب البنك انستا 2

"م";"كود القيد";"تاريخ الادخال";"التاريخ";"المستخدم";"البيان";"مدين";"دائن";"الرصيد"
"13";"3195";"24/02/2026 01:32:25 ص";"24/02/2026 01:32:25 ص";"ابراهيم الضويني ";"تحويل الى شركه دهب باسم ابراهيم المستلم ";;"10000.000000";"10000.000000"
"14";"3224";"24/02/2026 04:22:03 م";"24/02/2026 04:22:03 م";"ابراهيم الضويني ";"تحويل الى شركة السمكه المستلم ";;"10000.000000";"0.000000"
"15";"3413";"26/02/2026 02:29:01 م";"26/02/2026 02:29:00 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2278 نقدى";"500.000000";;"500.000000"
"16";"3506";"27/02/2026 01:17:15 ص";"27/02/2026 01:17:15 ص";"مدير الشركه مصطفي";"تحويل الى باى  انستا 1 دمياط ";;"500.000000";"0.000000"
"17";"3875";"05/03/2026 01:24:48 م";"05/03/2026 01:24:47 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2562 خالد خليل";"2750.000000";;"2750.000000"
"18";"3965";"06/03/2026 02:08:15 ص";"06/03/2026 02:08:14 ص";"مدير الشركه مصطفي";"تحويل الى باى  انستا 1 دمياط ";;"2750.000000";"0.000000"
"19";"4498";"14/03/2026 11:23:08 م";"14/03/2026 11:23:07 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 2947 نقدى";"260.000000";;"260.000000"
"20";"4572";"16/03/2026 02:42:33 ص";"16/03/2026 02:42:33 ص";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"260.000000";"0.000000"
"21";"4623";"16/03/2026 11:59:56 م";"16/03/2026 11:59:50 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3039 نقدى";"775.000000";;"775.000000"
"22";"4745";"18/03/2026 02:06:48 ص";"18/03/2026 02:06:47 ص";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"775.000000";"0.000000"
"23";"4874";"18/03/2026 10:25:52 م";"18/03/2026 10:25:52 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3190 رامي جوهر";"6000.000000";;"6000.000000"
"24";"5018";"20/03/2026 02:53:59 ص";"20/03/2026 02:53:58 ص";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"6000.000000";"0.000000"
"25";"5419";"06/04/2026 04:36:13 م";"06/04/2026 04:36:13 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 3490 نقدى";"195.000000";;"195.000000"
"26";"5509";"07/04/2026 04:44:28 م";"07/04/2026 04:44:28 م";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"195.000000";"0.000000"
"27";"6587";"21/04/2026 03:08:46 م";"21/04/2026 03:08:46 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4191 نقدى";"1020.000000";;"1020.000000"
"28";"6631";"21/04/2026 07:13:12 م";"21/04/2026 07:13:12 م";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"1020.000000";"0.000000"
"29";"6815";"23/04/2026 03:29:57 م";"23/04/2026 03:29:39 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4342 نقدى";"350.000000";;"350.000000"
"30";"6940";"23/04/2026 11:52:22 م";"23/04/2026 11:52:22 م";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"350.000000";"0.000000"
"31";"7281";"28/04/2026 12:12:28 م";"28/04/2026 12:12:26 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 4619 نقدى";"65.000000";;"65.000000"
"32";"7378";"28/04/2026 10:23:28 م";"28/04/2026 10:23:28 م";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"65.000000";"0.000000"
"33";"8658";"13/05/2026 10:34:25 م";"13/05/2026 10:34:24 م";"محمد اسام";"تحصيل بالفيزا فاتورة بيع 5494 نقدى";"470.000000";;"470.000000"
"34";"8772";"14/05/2026 04:05:08 م";"14/05/2026 04:05:08 م";"محمد اسام";"تحويل من طارق الصعيدي المستلم ";"1000.000000";;"1470.000000"
"35";"8883";"15/05/2026 03:28:23 ص";"15/05/2026 03:28:23 ص";"ابراهيم الضويني ";"تحويل الى باى  انستا 1 دمياط ";;"1470.000000";"0.000000"
"36";"9059";"17/05/2026 04:19:00 م";"17/05/2026 04:18:59 م";"محمد اسام";"تحويل من احمد عوايد المستلم ";"2938.000000";;"2938.000000"
"37";"9153";"18/05/2026 03:07:09 ص";"18/05/2026 03:07:09 ص";"مدير الشركه مصطفي";"تحويل الى باى  انستا 1 دمياط ";;"2938.000000";"0.000000"
;;;;;;"38313";"38313";"0"
